BTC, GBP
2014-01-29-20-00, 479.106804
2014-01-29-21-00, 479.941152
2014-01-29-22-00, 479.764263
2014-01-29-23-00, 478.943663
2014-01-30-00-00, 482.001124
2014-01-30-01-00, 481.590533
2014-01-30-02-00, 480.472579
2014-01-30-03-00, 480.151297
2014-01-30-04-00, 481.550768
2014-01-30-05-00, 479.217424
2014-01-30-06-00, 475.842100
2014-01-30-07-00, 473.909413
2014-01-30-08-00, 471.631762
2014-01-30-09-00, 471.613270
2014-01-30-10-00, 474.614828
2014-01-30-11-00, 473.498283
2014-01-30-12-00, 473.225722
2014-01-30-13-00, 475.903346
2014-01-30-14-00, 477.235176
2014-01-30-15-00, 483.255029
2014-01-30-16-00, 487.476798
2014-01-30-17-00, 487.005504
2014-01-30-18-00, 487.103038
2014-01-30-19-00, 486.856281
2014-01-30-20-00, 485.784538
2014-01-30-21-00, 485.364488
2014-01-30-22-00, 485.349798
2014-01-30-23-00, 486.236123
2014-01-31-00-00, 487.759596
2014-01-31-01-00, 487.098168
2014-01-31-02-00, 486.280092
2014-01-31-03-00, 485.908967
2014-01-31-04-00, 488.077146
2014-01-31-05-00, 484.098246
2014-01-31-06-00, 486.484910
2014-01-31-07-00, 489.456159
2014-01-31-08-00, 491.071454
2014-01-31-09-00, 490.630609
2014-01-31-10-00, 487.867961
2014-01-31-11-00, 485.578710
2014-01-31-12-00, 488.334506
2014-01-31-13-00, 487.104696
2014-01-31-14-00, 486.249163
2014-01-31-15-00, 489.136681
2014-01-31-16-00, 490.639742
2014-01-31-17-00, 488.183317
2014-01-31-18-00, 487.754712
2014-01-31-19-00, 487.016803
2014-01-31-20-00, 486.503708
2014-01-31-21-00, 489.294458
2014-01-31-22-00, 488.549087
2014-01-31-23-00, 489.025040
2014-02-01-00-00, 488.896709
2014-02-01-01-00, 488.763013
2014-02-01-02-00, 488.948960
2014-02-01-03-00, 489.153170
2014-02-01-04-00, 489.309735
2014-02-01-05-00, 489.806854
2014-02-01-06-00, 489.801482
2014-02-01-07-00, 489.884434
2014-02-01-08-00, 491.928215
2014-02-01-09-00, 492.377372
2014-02-01-10-00, 492.568845
2014-02-01-11-00, 493.299434
2014-02-01-12-00, 496.137730
2014-02-01-13-00, 498.668552
2014-02-01-14-00, 501.220388
2014-02-01-15-00, 499.499009
2014-02-01-16-00, 498.739468
2014-02-01-17-00, 497.149577
2014-02-01-18-00, 495.597848
2014-02-01-19-00, 497.510595
2014-02-01-20-00, 497.998882
2014-02-01-21-00, 497.566056
2014-02-01-22-00, 495.105479
2014-02-01-23-00, 495.310605
2014-02-02-00-00, 495.296358
2014-02-02-01-00, 495.697073
2014-02-02-02-00, 496.582845
2014-02-02-03-00, 497.019426
2014-02-02-04-00, 497.073241
2014-02-02-05-00, 498.531403
2014-02-02-06-00, 501.397793
2014-02-02-07-00, 501.013455
2014-02-02-08-00, 501.141792
2014-02-02-09-00, 500.187984
2014-02-02-10-00, 500.013973
2014-02-02-11-00, 499.882874
2014-02-02-12-00, 499.309965
2014-02-02-13-00, 498.452678
2014-02-02-14-00, 497.509541
2014-02-02-15-00, 498.411315
2014-02-02-16-00, 497.996455
2014-02-02-17-00, 498.379446
2014-02-02-18-00, 497.795206
2014-02-02-19-00, 497.334631
2014-02-02-20-00, 495.777456
2014-02-02-21-00, 495.935426
2014-02-02-22-00, 494.972000
2014-02-02-23-00, 495.322989
2014-02-03-00-00, 499.436205
2014-02-03-01-00, 498.807382
2014-02-03-02-00, 499.076517
2014-02-03-03-00, 497.402679
2014-02-03-04-00, 496.714026
2014-02-03-05-00, 495.591628
2014-02-03-06-00, 493.448953
