ETC, GBP
2016-08-16-15-00, 1.418813
2016-08-16-16-00, 1.418935
2016-08-16-17-00, 1.421482
2016-08-16-18-00, 1.427627
2016-08-16-19-00, 1.426524
2016-08-16-20-00, 1.424533
2016-08-16-21-00, 1.425287
2016-08-16-22-00, 1.425973
2016-08-16-23-00, 1.422517
2016-08-17-00-00, 1.381546
2016-08-17-01-00, 1.382399
2016-08-17-02-00, 1.380008
2016-08-17-03-00, 1.382156
2016-08-17-04-00, 1.378746
2016-08-17-05-00, 1.381447
2016-08-17-06-00, 1.412696
2016-08-17-07-00, 1.411300
2016-08-17-08-00, 1.412767
2016-08-17-09-00, 1.414887
2016-08-17-10-00, 1.414952
2016-08-17-11-00, 1.412194
2016-08-17-12-00, 1.388233
2016-08-17-13-00, 1.386991
2016-08-17-14-00, 1.382310
2016-08-17-15-00, 1.383434
2016-08-17-16-00, 1.380733
2016-08-17-17-00, 1.382258
2016-08-17-18-00, 1.341275
2016-08-17-19-00, 1.343453
2016-08-17-20-00, 1.343866
2016-08-17-21-00, 1.342314
2016-08-17-22-00, 1.343893
2016-08-17-23-00, 1.341730
2016-08-18-00-00, 1.299976
2016-08-18-01-00, 1.300220
2016-08-18-02-00, 1.298953
2016-08-18-03-00, 1.299804
2016-08-18-04-00, 1.297756
2016-08-18-05-00, 1.299877
2016-08-18-06-00, 1.335967
2016-08-18-07-00, 1.337579
2016-08-18-08-00, 1.337138
2016-08-18-09-00, 1.338546
2016-08-18-10-00, 1.339613
2016-08-18-11-00, 1.339908
2016-08-18-12-00, 1.319455
2016-08-18-13-00, 1.319835
2016-08-18-14-00, 1.322804
2016-08-18-15-00, 1.319730
2016-08-18-16-00, 1.319429
2016-08-18-17-00, 1.321069
2016-08-18-18-00, 1.272535
2016-08-18-19-00, 1.270859
2016-08-18-20-00, 1.268149
2016-08-18-21-00, 1.270104
2016-08-18-22-00, 1.267861
2016-08-18-23-00, 1.266719
2016-08-19-00-00, 1.324241
2016-08-19-01-00, 1.323396
2016-08-19-02-00, 1.324649
2016-08-19-03-00, 1.324124
2016-08-19-04-00, 1.324936
2016-08-19-05-00, 1.324597
2016-08-19-06-00, 1.248645
2016-08-19-07-00, 1.248905
2016-08-19-08-00, 1.249885
2016-08-19-09-00, 1.249942
2016-08-19-10-00, 1.251576
2016-08-19-11-00, 1.252208
2016-08-19-12-00, 1.248237
2016-08-19-13-00, 1.245836
2016-08-19-14-00, 1.247026
2016-08-19-15-00, 1.241259
2016-08-19-16-00, 1.246691
2016-08-19-17-00, 1.246530
2016-08-19-18-00, 1.337891
2016-08-19-19-00, 1.338896
2016-08-19-20-00, 1.335624
2016-08-19-21-00, 1.334837
2016-08-19-22-00, 1.335664
2016-08-19-23-00, 1.336821
2016-08-20-00-00, 1.344447
2016-08-20-01-00, 1.344248
2016-08-20-02-00, 1.343253
2016-08-20-03-00, 1.344255
2016-08-20-04-00, 1.343947
2016-08-20-05-00, 1.341463
2016-08-20-06-00, 1.317351
2016-08-20-07-00, 1.313804
2016-08-20-08-00, 1.322696
2016-08-20-09-00, 1.327629
2016-08-20-10-00, 1.327362
2016-08-20-11-00, 1.331592
2016-08-20-12-00, 1.298385
2016-08-20-13-00, 1.296828
2016-08-20-14-00, 1.297660
2016-08-20-15-00, 1.296055
2016-08-20-16-00, 1.298218
2016-08-20-17-00, 1.298240
2016-08-20-18-00, 1.337225
2016-08-20-19-00, 1.331957
2016-08-20-20-00, 1.334783
2016-08-20-21-00, 1.336215
2016-08-20-22-00, 1.339396
2016-08-20-23-00, 1.336544
2016-08-21-00-00, 1.321885
2016-08-21-01-00, 1.325006
2016-08-21-02-00, 1.327076
2016-08-21-03-00, 1.328483
2016-08-21-04-00, 1.324390
2016-08-21-05-00, 1.323935
2016-08-21-06-00, 1.323179
2016-08-21-07-00, 1.324194
2016-08-21-08-00, 1.322062
2016-08-21-09-00, 1.322528
2016-08-21-10-00, 1.322621
2016-08-21-11-00, 1.320531
2016-08-21-12-00, 1.320034
2016-08-21-13-00, 1.319650
2016-08-21-14-00, 1.318448
2016-08-21-15-00, 1.321879
2016-08-21-16-00, 1.317524
2016-08-21-17-00, 1.319032
2016-08-21-18-00, 1.309004
2016-08-21-19-00, 1.309410
2016-08-21-20-00, 1.309709
2016-08-21-21-00, 1.311158
2016-08-21-22-00, 1.310735
2016-08-21-23-00, 1.310399
2016-08-22-00-00, 1.283469
2016-08-22-01-00, 1.280168
2016-08-22-02-00, 1.282782
2016-08-22-03-00, 1.280987
2016-08-22-04-00, 1.282861
2016-08-22-05-00, 1.284348
2016-08-22-06-00, 1.311211
2016-08-22-07-00, 1.313296
2016-08-22-08-00, 1.308327
2016-08-22-09-00, 1.308567
2016-08-22-10-00, 1.308716
2016-08-22-11-00, 1.311917
2016-08-22-12-00, 1.295791
2016-08-22-13-00, 1.299948
2016-08-22-14-00, 1.301624
2016-08-22-15-00, 1.305987
2016-08-22-16-00, 1.307916
2016-08-22-17-00, 1.306204
2016-08-22-18-00, 1.280481
2016-08-22-19-00, 1.276323
2016-08-22-20-00, 1.281022
2016-08-22-21-00, 1.281855
2016-08-22-22-00, 1.283535
2016-08-22-23-00, 1.278740
2016-08-23-00-00, 1.238590
2016-08-23-01-00, 1.239567
2016-08-23-02-00, 1.240327
2016-08-23-03-00, 1.242697
2016-08-23-04-00, 1.244213
2016-08-23-05-00, 1.242180
2016-08-23-06-00, 1.226537
2016-08-23-07-00, 1.228933
2016-08-23-08-00, 1.225230
2016-08-23-09-00, 1.217880
2016-08-23-10-00, 1.222614
2016-08-23-11-00, 1.221391
2016-08-23-12-00, 1.206020
2016-08-23-13-00, 1.206488
2016-08-23-14-00, 1.204619
2016-08-23-15-00, 1.201067
2016-08-23-16-00, 1.201362
2016-08-23-17-00, 1.204286
2016-08-23-18-00, 1.269631
2016-08-23-19-00, 1.270804
2016-08-23-20-00, 1.271430
2016-08-23-21-00, 1.270222
2016-08-23-22-00, 1.271310
2016-08-23-23-00, 1.271407
